open_time,open,high,low,close,volume
2026-03-11 19:28:00+00:00,2072.33,2072.76,2070.6,2070.63,596.607
2026-03-11 19:29:00+00:00,2070.64,2071.16,2070.49,2071.15,268.297
2026-03-11 19:30:00+00:00,2071.16,2071.57,2069.73,2071.04,917.74
2026-03-11 19:31:00+00:00,2071.05,2072.0,2069.31,2069.31,772.079
2026-03-11 19:32:00+00:00,2069.32,2071.7,2067.82,2071.39,3897.854
2026-03-11 19:33:00+00:00,2071.38,2073.15,2071.0,2072.57,987.047
2026-03-11 19:34:00+00:00,2072.58,2075.52,2072.15,2074.88,2292.192
2026-03-11 19:35:00+00:00,2074.88,2077.0,2074.39,2074.54,2467.914
2026-03-11 19:36:00+00:00,2074.53,2075.0,2073.47,2074.99,982.771
2026-03-11 19:37:00+00:00,2074.99,2075.7,2074.55,2075.43,1000.412
2026-03-11 19:38:00+00:00,2075.42,2076.36,2074.46,2074.47,1161.432
2026-03-11 19:39:00+00:00,2074.47,2074.47,2072.49,2073.01,1082.46
2026-03-11 19:40:00+00:00,2073.0,2073.72,2072.23,2072.76,893.847
2026-03-11 19:41:00+00:00,2072.75,2072.75,2070.66,2071.2,1100.24
2026-03-11 19:42:00+00:00,2071.19,2072.04,2070.81,2071.88,1087.872
2026-03-11 19:43:00+00:00,2071.88,2071.88,2071.53,2071.83,325.674
2026-03-11 19:44:00+00:00,2071.84,2074.12,2071.83,2073.99,833.433
2026-03-11 19:45:00+00:00,2073.99,2074.32,2073.01,2073.03,532.548
2026-03-11 19:46:00+00:00,2073.03,2075.51,2072.17,2074.36,1849.466
2026-03-11 19:47:00+00:00,2074.36,2074.38,2073.22,2074.07,1219.525
2026-03-11 19:48:00+00:00,2074.07,2074.07,2072.43,2072.74,411.264
2026-03-11 19:49:00+00:00,2072.75,2073.0,2072.2,2072.91,487.555
2026-03-11 19:50:00+00:00,2072.91,2075.0,2072.58,2075.0,990.194
2026-03-11 19:51:00+00:00,2075.0,2076.24,2074.85,2075.46,1427.42
2026-03-11 19:52:00+00:00,2075.46,2075.63,2074.8,2075.08,611.464
