open_time,open,high,low,close,volume
2026-03-09 20:40:00+00:00,68823.5,68840.7,68819.7,68839.8,16.956
2026-03-09 20:41:00+00:00,68839.8,68907.8,68839.7,68889.3,35.23
2026-03-09 20:42:00+00:00,68889.3,68905.9,68874.6,68874.6,24.115
2026-03-09 20:43:00+00:00,68874.6,68874.7,68839.8,68867.6,24.24
2026-03-09 20:44:00+00:00,68867.5,68868.1,68845.0,68845.1,22.888
2026-03-09 20:45:00+00:00,68845.0,68874.7,68839.8,68857.9,48.642
2026-03-09 20:46:00+00:00,68857.8,68866.7,68841.3,68847.3,29.653
2026-03-09 20:47:00+00:00,68847.3,68875.7,68745.0,68751.5,117.004
2026-03-09 20:48:00+00:00,68751.4,68780.7,68751.4,68778.4,57.978
2026-03-09 20:49:00+00:00,68778.4,68838.6,68778.4,68818.0,18.651
2026-03-09 20:50:00+00:00,68818.0,68818.0,68748.2,68772.3,55.084
2026-03-09 20:51:00+00:00,68772.3,68774.4,68758.6,68760.6,39.052
2026-03-09 20:52:00+00:00,68760.5,68769.2,68718.0,68763.8,170.981
2026-03-09 20:53:00+00:00,68763.8,68854.7,68763.8,68854.6,66.007
2026-03-09 20:54:00+00:00,68854.6,68922.2,68818.4,68918.2,76.299
2026-03-09 20:55:00+00:00,68918.3,68921.6,68877.1,68918.2,47.205
2026-03-09 20:56:00+00:00,68918.3,68922.2,68889.6,68916.1,34.757
2026-03-09 20:57:00+00:00,68916.2,69005.7,68916.1,68980.0,93.204
2026-03-09 20:58:00+00:00,68980.0,68998.6,68961.5,68967.7,77.028
2026-03-09 20:59:00+00:00,68967.7,68977.7,68916.3,68916.3,44.884
2026-03-09 21:00:00+00:00,68916.3,68989.4,68902.3,68976.9,84.282
2026-03-09 21:01:00+00:00,68977.0,69019.3,68976.9,69012.3,84.644
2026-03-09 21:02:00+00:00,69012.3,69036.1,69007.0,69020.3,120.701
2026-03-09 21:03:00+00:00,69020.2,69029.7,69012.4,69019.2,48.19
2026-03-09 21:04:00+00:00,69019.3,69064.1,69019.3,69057.4,110.246
2026-03-09 21:05:00+00:00,69057.3,69057.3,69009.1,69031.6,76.715
2026-03-09 21:06:00+00:00,69031.6,69045.2,69002.4,69024.9,55.479
2026-03-09 21:07:00+00:00,69025.0,69055.0,69024.9,69055.0,42.696
2026-03-09 21:08:00+00:00,69055.0,69063.3,69039.2,69040.7,53.765
